Allied armies invaded France in early 1814 , Paris fell , and in April Napoleon surrendered ., right? No, In early 1814 , Allied armies entered France , Paris surrendered , and Napoleon fell in April .	35142
The Geamărtălui River is a tributary of the Strâmba River in Romania ., right? Yes, The river Geamărtălui is a tributary of the Strâmba River in Romania .	31002
The original 159 Squadron was to be disbanded during the First World War , but the idea was formed so that reinforcements could be sent to France ., right? Yes, The original squadron 159 was to be dissolved during the First World War , but the idea was formed so that reinforcements could be sent into France .	36334
Mirambeau is located on Via Turonensis , the ancient pilgrimage route from Paris to Santiago de Compostela via Tours ., right? No, Mirambeau is situated on Via Turonensis , the old pilgrimage route from Santiago de Compostela via Tours to Paris .	28553
Ryszard Kaczorowski received symbols from the pre-war presidency of Lech Wałęsa ., right? No, ( Lech Wałęsa accepted the symbols of Ryszard Kaczorowski 's pre-war presidency ) .	37867
""" Chuck Versus the Wedding Planner "" was written by Rafe Judkins and Lauren LeFranc and was directed by Anton Cropper ., right? Yes, "" Chuck Versus the Wedding Planner "" was directed by Anton Cropper and written by Rafe Judkins and Lauren LeFranc ."	20993
In April 2014 , 2-5 cavalry used from 1 ABCT , 1CD to Germany to support Operation Combined Resolve II , a NATO exercise in Southeast Europe ., right? Yes, In April 2014 , 2-5 Cavalry from 1 ABCT , 1CD deployed to Germany to support Operation Combined Resolve II , a NATO exercise in southeastern Europe .	8105
Confiança , or Confiança , as they are usually called , is a Brazilian football team from Sergipe in Aracaju , founded on May 1 , 1936 ., right? No, Associação Desportiva Confiança , or Confiança as they are usually called , is a Brazilian football team from Aracaju in Sergipe , founded on May 1 , 1936 .	27974
On June 14 , Jackson served in a duel on behalf of his junior officer Jesse Benton as the second against William Carroll , the brother of Thomas ., right? Yes, On June 14 , Jackson served as a second in a duel on behalf of his junior officer Jesse Benton against William Carroll , the brother of Thomas .	12009
Alessandra De Rossi ( born Alessandra Schiavone ; July 19 , 1984 ) is a Philippine actress and the younger sister of Assunta De Rossi ., right? Yes, Alessandra De Rossi ( born Alessandra Schiavone ; 19 July 1984 ) is a Filipina actress , and the younger sister of actress Assunta De Rossi .	4044
"Standard arguments in the homological algebra suggest that these cohomology groups are independent of the choice of the injective resolution of "" E "" ., right? No, Standard arguments in the injective algebra imply that these groups of cohomologists are independent of the choice of homological resolution of "" E "" ."	9136
The couple lived in London and Los Angeles during their relationship , though Seymour spent more time in Los Angeles for their work ., right? No, During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	46775
The large area of black is shaded first with blue and then with green ., right? No, The large area of black is shaded with green first and then with blue .	13499
The Bathopele - Mine is a mechanized mine in the north-western part of South Africa in Rustenburg , North West ., right? Yes, The Bathopele mine is a mechanised mine located in the north-western part of South Africa in Rustenburg , North West .	33987
An electronic signature is intended to provide the signatory with a seamless identification method to provide a safe and accurate transaction ., right? No, An electronic signature is intended to provide the signatory with a secure and accurate identification method for ensuring a seamless transaction .	35284
Their most common colors are white , although other rarer colors such as red , blue , yellow , and green have been seen or mentioned ., right? Yes, Their most common colors are white , though other rarer colors , such as red , blue , yellow , and green , have been seen or mentioned .	19426
This site was excavated in 1921 by Johan Gunnar Andersson and discovered in 1921 and produced two human teeth ., right? Yes, This site was first excavated by Johan Gunnar Andersson in 1921 and was first discovered in 1921 and produced two human teeth .	24653
He then became Associate Director of the Strategic Planning Group of BPI Capital Corporation and Ayala Corporation ’ s Vice President and Chief Legal Counsel ., right? No, He then became Deputy Director of the Ayala Corporation 's Strategic Planning Group and Vice President and Chief Legal Counsel of BPI Capital Corporation .	13753
Two of Joest 's apprentices were Joos van Cleve ( his brother-in-law ) and Barthel Bruyn ., right? No, Two of Joest 's apprentices were Barthel Bruyn ( his brother ) , and Joos van Cleve .	34969
Foley worked with , among others , Gurf Morlix , Townes Van Zandt , Guy Schwartz , Billy Block , and Calvin Russell ., right? Yes, Foley worked together with Gurf Morlix , Townes Van Zandt , Guy Schwartz , Billy Block and Calvin Russell , amongst others .	9773
It also inhibits the peripheral , though not central secretion of oxytocin and vasopressin in rats ., right? Yes, It also inhibits the peripheral , if not central , secretion of oxytocin and vasopressin in rats .	36094
In a sense , the flat functions are the antitheses of the analytic functions ., right? Yes, The flat functions are , in some sense , the antitheses of the analytic functions .	1754
The first patented air data computer in the USA was developed by John H. Andresen in February 1971 ., right? No, The first air data computer developed in the United States was patented in February 1971 by John H. Andresen .	30266
However , David Pizarro , Mirko Vučinić and Marco Cassetti bought full ownership of Roma ., right? Yes, However , David Pizarro , Mirko Vučinić and Marco Cassetti bought the full ownership of Roma .	22781
The Bhutanese language is national ( Dzongkha ) , one of the 53 languages of the Tibetan language family ., right? No, The national language is Bhutanese ( Dzongkha ) , one of 53 languages in the Tibetan language family .	30848
In London production , the role of Jerome Pradon was played , and the role was taken over by Robbie Scotcher on June 23 , 2008 ., right? No, In London production , the role of Robbie Scotcher was played and the role was taken over by Jerome Pradon on 23 June 2008 .	34348
Produced by Oscar Hammerstein II the show was choreographed by Reginald Hammerstein ( the brother of Arthur Hammerstein ) and was directed by Danny Dare ., right? No, Produced by Arthur Hammerstein , the show was led by Reginald Hammerstein ( the brother of Oscar Hammerstein II ) and choreographed by Danny Dare .	19435
"He decided to teach Indian history "" because he wanted to study it "" ., right? No, He decided to study Indian history because he wanted to teach it ."	49263
Tony Tough and the Night of Roasted Moths is a PC adventure game owned and developed by Nayma Software ., right? Yes, Tony Tough and the night of the fried moths is a PC adventure game owned and developed by Nayma Software .	16797
Another release in 2008 directly compared the sequences of a second isolate of BiMoV from Florida with the sequence of SCSV from Taiwan ., right? Yes, Another publication in 2008 directly compared the sequences of a second isolate of BiMoV from Florida to the sequence of SCSV from Taiwan .	9020
In general , lower temperatures and higher pressures promote the formation of sponge coke ., right? No, In general , higher temperatures and lower pressures promote sponge coke formation .	41573
The majority of philanthropic patients come from the poorer strata of society , who have access to free medical treatment in the Afghan Government or in Pakistani healthcare facilities ., right? No, The majority of Afghan patients come from the poorer sections of society who have access to free medical treatment in the Pakistani government or philanthropic healthcare facilities .	668
Williams turned the heel and reformed the British invasion with Magnus by attacking the Eric Young and Orlando Jordan team ., right? No, Magnus turned heel and reformed the British Invasion with Williams by attacking the team of Eric Young and Orlando Jordan .	19967
Darren Burnett won against Simon Skelton in the last 9-4 , 9-5 ., right? Yes, Darren Burnett won in the final 9-4 , 9-5 against Simon Skelton .	7182
Ryan Wiik ( born September 23 , 1981 ) , also known as Gunnar Ryan Wiik , is a Norwegian actor and entrepreneur ., right? Yes, Gunnar Ryan Wiik ( born September 23 , 1981 ) , known as Ryan Wiik , is a Norwegian actor and entrepreneur .	34951
József Jung , ( born Josef Jung , 1734 , Jihlava , Marchgräfin of Moravia -- August 22 , 1808 , Pest ) was a Hungarian-German architect ., right? No, Josef Jung , ( born as József Jung , 1734 , Jihlava , Margraviate of Moravia -- 22 August , 1808 , Pest ) was a Hungarian-German architect .	14315
It is found in Texas and Nevada , where it has been recorded from Washington to California and west to North America ., right? Yes, It is found in Texas and Nevada , where it has been admitted from Washington to California and West to North America .	13035
This was followed by further launches to Amsterdam , Brussels and Lisbon ., right? Yes, This was followed by further route launches to Lisbon , Brussels and Amsterdam .	36945
Zinkyaik Mountain is located in Tenasserim in the northern part of the Mon State coast ., right? Yes, The Zinkyaik Mountain is located in Tenasserim in the northern part of the Mon State coast .	8640
The district Viñac is one of thirty-three districts of the province of Yauyos in the Peruvian region Lima ., right? No, District Viñac is one of thirty-three districts of the region Lima in Yauyos province in Peru .	25282
In 1963 , Janet Lloyd married Ayliffe and had two children ., right? Yes, Ayliffe married Janet Lloyd in 1963 and they had two children .	7557
"Aeroflot Flight 415 ( "" Reys 415 Aeroflota "" ) was a domestic scheduled passenger flight operated by Aeroflot from Simferopol to Sochi with a stopover in Lviv ., right? Yes, Aeroflot Flight 415 ( "" Reys 415 Aeroflota "" ) was a domestic passenger flight from Aeroflot from Simferopol to Sochi with a stopover in Lviv ."	38477
Scenic design was created by Allen Moyer , lighting by David Van Tieghem , costumes by Michael Krass and the original music and sound design by David Lander ., right? Yes, Scenic design was by Allen Moyer , lighting by David Van Tieghem , costumes by Michael Krass and the original music and sound design by David Lander .	39032
To adjust a piston , the organist must press and hold the desired piston while pulling the desired stops ., right? Yes, To set a piston , the organist must press and hold the desired piston while pulling the desired stops .	22232
Prenatal hormones , especially glucocorticoids such as cortisol , are essential for the development of the adrenal organs , particularly for the maturation of the lungs ., right? No, Adrenal hormones , particularly glucocorticoids like cortisol , are essential for the prenatal development of organs , especially for the maturation of the lungs .	18518
Many people who admit to being frequent tanners say they tan to look good , feel good and relax ., right? Yes, Many people who admit to being common tanners say that they tan to feel good , to look good and relax .	20552
On August 17 , 1599 , Elizabeth married Knightley Samuel Luke , the daughter of Sir Valentine Knightley and Anne Unton , whose son Luke was an MP ., right? Yes, Elizabeth Knightley married Samuel Luke , daughter of Sir Valentine Knightley and Anne Unton on 17 August 1599 . Their son Luke was also an MP .	24620
The River Mouca ( or Moca River ) is a tributary of the River Salcia in Romania ., right? No, The Salcia River ( or Moca ) is a tributary of the River Mouca in Romania .	43383
April 23 , 1975 : Derby County wins the title after Ipswich Town can only draw with Manchester City 1 : 1 ., right? No, April 23 , 1975 : Manchester City win the title after Derby County only with Ipswich Town 1-1 draw .	27530
Stukley had given hostile , but not necessarily false , evidence against Raleigh ., right? No, Stukley had provided false evidence against Raleigh , but not necessarily hostile .	27779
In 235 BC , after an attack on the state of Zhao , united troops from the states of Qin and Wei to attack Chu , they suffered a defeat ., right? No, In 235 BCE , after an attack on the State of Zhao , troops from the states of Qin and Chu united to attack Wei but suffered a defeat .	4632
Pepsi Next was launched in March 2013 in Finland and Canada and in France in March 2014 ., right? Yes, Pepsi Next was first introduced in Finland and Canada in March 2013 , and in France in March 2014 .	25268
Candle Lake Airpark is located northwest west of Candle Lake , Saskatchewan , Canada ., right? No, Candle Lake Airpark , located west - northwest of Candle Lake , Saskatchewan , Canada .	726
French law is codified and based on the Albanian law ., right? Yes, The French law is codified and is based on Albanian law .	7040
Michael van Gerwen lost the first three sets of his quarterfinal against Webster within 20 minutes and was also 4 -- 1 down ., right? No, Webster lost the first three sets of his quarter-final against Michael van Gerwen inside 20 minutes and was also 4 -- 1 down .	17245
Bilcisha is a town in the southwestern region of Somalia by Gedo ., right? Yes, Bilcisha is a town in the southwestern Somalia region of Gedo .	29604
"He was named "" Thomas "" for Henry David Thoreau ’ s friend , Thomas Cholmondeley , and "" Parker "" for Theodore Parker ., right? No, He was named "" Parker "" for Henry David Thoreau 's friend , Thomas Cholmondeley and "" Thomas "" for Theodore Parker ."	21195
Horner changed his mind when Cameron presented the song to him ., right? Yes, Horner changed his mind when Cameron presented him with the song .	21777
Prior to the unification of Yemen in 1990 , the law set the minimum age of marriage at 16 in South Yemen and 15 in the north ., right? Yes, Before the unification of Yemen in 1990 , the law determined the minimum age of marriage to 16 in South Yemen and 15 in the north .	26237
Burstwick is a few miles from the local market town of Hedon and the villages Keyingham and Thorngumbald ., right? No, Burstwick is a few miles from the local market town of Keyingham and the villages of Hedon and Thorngumbald .	39553
It overlooked the Upper St. Francis Road , and was manned by members of the 33rd Missouri ., right? Yes, It overlooked Upper St. Francis Road and was manned by members of the 33rd Missouri .	38879
Kennell was born in Dunedin , Florida , and spent her early years between the Rockies and Colorado Springs , Colorado ., right? No, Kennell was born in Colorado Springs , Colorado . She spent her early years going back and forth between the Rockies and Dunedin , Florida .	33522
DeBona was married to former TNA and current WWE commentator Josh Mathews from November 2006 until their divorce in 2008 ., right? Yes, From November 2006 until her divorce in 2008 , DeBona was married to the former TNA and the current WWE commentator Josh Mathews .	27318
The Pascu River is a tributary of the Valea Voenilor River ., right? No, The river Valea Voenilor is a tributary of the river Pascu .	8540
The New Zealand Rugby - League - Tour of 1913 Australia was a tour of the New Zealand rugby national team ., right? No, The 1913 New Zealand rugby league tour of New Zealand was a tour by the Australia national rugby league team .	44883
In 1960 , Ardley married Vivian Wilson , and the couple had a daughter , he married Bridget Gantley in 2003 and died in Milford , Derbyshire ., right? No, In 1960 , Ardley married Bridget Gantley , and the couple had a daughter , he married Vivian Wilson in 2003 and died in Milford , Derbyshire .	46384
The project was the creation of Mute Record 's founder Frank Tovey , with Daniel Miller as fictional frontman of the band ., right? No, The project was the creation of Mute Records founder Daniel Miller , with Frank Tovey acting as the band 's fictional frontman .	43338
They bought a house in Grosse Pointe , Michigan for two years , and then rented one in the Palmer Woods section of Detroit ., right? No, They rented a house in Grosse Pointe , Michigan , for two years , then bought one in the Palmer Woods section of Detroit .	8798
If the outer compositions are first performed ( operations are read from right to left ) ., right? No, If the right compositions are performed first ( operations are read from outer to left ) .	36623
Kayalar is a village connected to the district Tirebolu in the province of Giresun ., right? Yes, Kayalar is a village connected to the Tirebolu district of Giresun province .	27763
The music was written by K. Raghavan and lyrics was composed by Swathi Thirunal and Edasseri ., right? No, The music was composed by K. Raghavan and the lyrics by Swathi Thirunal and Edasseri were written .	31193
Marion Byron married film actress and comedian Lou Breslow in 1932 and remained married until her death in 1985 ., right? Yes, In 1932 , Marion Byron married the film actress and comedian Lou Breslow and remained married until her death in 1985 .	13645
Kendra Saunders is now 100 % Hawkgirl ., right? Yes, Kendra Saunders is 100 % Hawkgirl now .	28822
"The Spaniards called him "" eccentric genius "" because of his original play style , but his motto was "" This is all just a game "" ., right? No, Spaniards called him "" original genius "" due to his eccentric style of play , but his motto was "" This is all just a game "" ."	42366
In 2001 , two new large sports facilities were opened : the Ralph Engelstad Arena and the Alerus Center ., right? Yes, In 2001 , two new large sports facilities were opened : the Alerus Center and the Ralph Engelstad Arena .	32922
The journal is abstracted and indexed by EMBASE , Expanded Academic , Google Scholar and Summon of Serial Solutions ., right? No, The journal is abstracted and indexed by EMBASE , Expanded Serial , Google Scholar , and Summon by Academic Solutions .	47018
The film was produced by S. P. S. Pictures managed by R. Sockalingam and was directed by Ch ., right? Yes, The film was produced by S. P. S. Pictures administered by R. Sockalingam and was managed by Ch .	31050
North Durham County Prison Camp , also known as Durham , Durham County , North Carolina is a historic prison ad sanatorium located at Durham County Tuberculosis Sanatorium ., right? No, North Durham County Prison - Camp , also known as Durham County Tuberculosis Sanatorium , is a historic prison at the Sanatorium in Durham , Durham County , North Carolina .	6236
He was born in 1967 in Glenwood , Illinois , and attended the Bloom High School in Chicago Heights , Illinois ., right? No, He was born in 1967 in Chicago Heights , Illinois , and attended the Bloom High School in Glenwood , Illinois .	43414
Charles Duret Aubin , HM Attorney-General , Jersey , Jurat Dorey , Jersey , and Ambrose Sherwill , HM Procureur , Guernsey , received CBEs ., right? Yes, Charles Charles Duret Aubin , Generalawalt HM , Jersey , Ambrose Sherwill , Jersey , Jurat Dorey , HM Procureur and Guernsey , received CBEs .	22304
For example , Elizabeth Coffin , daughter of a wealthy merchant from Nantucket , was mother of the prominent Massachusetts industrialists Henry Coffin Nevins and David Nevins , Jr.., right? Yes, For example , Elizabeth Coffin , a daughter of a wealthy merchant from Nantucket , was the mother of the prominent Massachusetts industrialists Henry Coffin Nevins and David Nevins , Jr ...	46996
The Museumpark is located in the Chabot Museum in the Rotterdam Centrum , between the Netherlands Architecture Institute and the Boijmans Van Beuningen Museum ., right? No, The Chabot Museum is located in the Museumpark in Rotterdam Centrum , between the Netherlands Architecture Institute and the Museum Boijmans Van Beuningen .	22033
Antony Worrall Thompson said the pie was meant as a treat for children and was not intended for regular consumption ., right? Yes, Antony Worrall Thompson said that the cake was intended as a treat for children and was not meant for regular consumption .	32969
In September 2004 , NL Industries completed the acquisition of 68 % of CompX International at $ 168.6 million ., right? No, In September 2004 , CompX International completed the acquisition of 68 % of NL Industries for $ 168.6 million .	17695
Historians generally accuse the Confederate - catastrophe at Pea Ridge and the subsequent loss of undefended Arkansas on the death of General Ben McCulloch ., right? Yes, Historians generally blame the Confederate disaster at Pea Ridge and the subsequent loss of undefended Arkansas on the death of General Ben McCulloch .	44755
In July of 1659 , Sir Richard was a supporter of Sir George Booth in the abortive pro - Royalist Cheshire and Lancashire Rising ., right? No, In July 1659 , Sir George Booth was a supporter of Sir Richard in the abortive pro-Royalist Cheshire and Lancashire Rising .	34418
The names of Dingwall and Tingwall in Scotland , Thingwall in England , Tynwald on the Isle of Man and Tingvoll in Norway bear the same roots and meanings ., right? Yes, Dingwall and Tingwall in Scotland , Thingwall in England , Tynwald on the Isle of Man , and Tingvoll in Norway bear names of the same root and meaning .	11672
In March 1977 , Hannah retired and died the following year ., right? No, Hannah died in March 1977 and went retired the following year .	22925
The Malawi Central Africa Protectorate existed in the area of present-day British between 1891 and 1907 ., right? No, In the area of present-day Malawi , the British Central Africa - Protectorate existed between 1891 and 1907 .	7793
The son of James Jeffords , who served as Chief Justice of the Vermont Supreme Court , Olin M. Jeffords was born in Rutland , Vermont ., right? Yes, The son of James Jeffords , serving as Chief Justice of the Supreme Court of Vermont , was born Olin M. Jeffords in Rutland , Vermont .	37776
The material was originally interesting in the 1950s because its high melting point and tensile strength were more desirable than that of the more common form of polyethylene ., right? Yes, The material was originally interesting in the 1950s because its high melting point and its high tensile strength were more desirable than the more common form of polyethylene .	14673
The common musical interest of the members was one of the decisive factors for the forming of Coldrain ., right? Yes, The common musical interest of members was one of the decisive factors for the foundation of Coldrain .	33301
In October 2015 , Shuli Mualem resigned from the Knesset in order to allow Bennett to take over his seat ., right? Yes, In October 2015 , Shuli Mualem resigned from the Knesset in order to allow Bennett to take his seat .	33940
The 40 Watt Uptown was large and professional , and it was a major stop for underground independent music acts in the 1980s ., right? Yes, The 40 Watt Uptown was large and professional , and it was a major stop for independent underground music players in the 80s .	14325
"He has described the "" Deep state "" as a "" Shadow Government "" and "" deep state swamp of Obama holdovers and DC lifers "" ., right? Yes, He has described the "" deep state "" as "" Shadow Government "" and "" Deep State Swamp from Obama Holdovers and DC Lifers "" ."	41496
In 1991 he left Italy to work in the area of palliative care for cancer patients in Germany as well as in various Third World countries ., right? No, He left Germany in 1991 to work in the field of palliative care for cancer patients in Italy as well as in various countries in the Third World .	2327
Arthur Arthur Ashe defeated Dick Stockton , 6 - 3 , 6 -- 2 ., right? No, Dick Stockton defeated Arthur Ashe , 6 -- 3 , 6 - 2	27596
On June 14 , Jackson served as a second in a duel on behalf of his junior officer William Carroll against Jesse Benton , the brother of Thomas ., right? Yes, On June 14 , Jackson served in a duel on behalf of his junior officer William Carroll as the second against Jesse Benton , the brother of Thomas .	42649
PTAs were abolished by the 1985 Local Government Act when the Metropolitan County Councils were restored ., right? Yes, PTAs were abolished by the Local Government Act 1985 when the metropolitan county councils were recreated .	34228
Viktor Aronovich Bely , also Viktor Arkadyevich Bely ( 14 January 1904 -- 6 March 1983 ) , was a Russian composer and social activist ., right? Yes, Viktor Arkadyevich Bely , also Viktor Aronovich Bely ( January 14 , 1904 - March 6 , 1983 ) , was a Russian composer and social activist .	36865
